data_point,By,Bz,theta,x_coordinate,mandelbrot_iterations,fractal_dimension,quantum_coupling,entanglement_strength,dark_matter_detection_prob,time_dilation_factor,quantum_gravity_interaction
1,1.5,2.0,0.785398,0.474342,5,1.872145655403117,1231618139172.6782,1.4051209310888148e-25,9.374999783287404e-06,1.005037815259212,1.0
2,2.3,1.8,0.523599,0.967332,7,1.872145655403117,1231618139172.6782,3.378669835415564e-26,1.2767857563779688e-05,1.005037815259212,1.0
3,1.8,2.5,0.698132,0.512103,5,1.872145655403117,1231618139172.6782,1.2055416628639676e-25,8.888889269845048e-06,1.005037815259212,1.0
4,2.1,2.2,0.610865,0.711832,7,1.872145655403117,1231618139172.6782,6.239385924618459e-26,1.0629339910520859e-05,1.005037815259212,1.0
5,1.9,2.3,0.654498,0.601029,5,1.872145655403117,1231618139172.6782,8.751973803598091e-26,9.703282171626978e-06,1.005037815259212,1.0
6,2.5,2.0,0.785398,0.79057,10,1.872145655403117,1231618139172.6782,5.058435351919733e-26,1.3124999696602367e-05,1.005037815259212,1.0
7,1.7,2.4,0.666667,0.513849,5,1.872145655403117,1231618139172.6782,1.1973629968351832e-25,8.78376188472018e-06,1.005037815259212,1.0
8,2.2,2.1,0.741456,0.697554,7,1.872145655403117,1231618139172.6782,6.497423832916574e-26,1.1540711096620845e-05,1.005037815259212,1.0
9,1.6,2.6,0.588003,0.477902,4,1.872145655403117,1231618139172.6782,1.3842647758858973e-25,7.898103662242908e-06,1.005037815259212,1.0
10,2.4,1.9,0.754321,0.814576,11,1.872145655403117,1231618139172.6782,4.764678959455342e-26,1.3131666599363013e-05,1.005037815259212,1.0
